Erntetag,Dauer Fermentation [Tage],Dauer Wachstum Vorkulturen [Tage],Vorkulturen zerkleinert [ja/ nein],Vorkulturen Inokualtionsvolumen [% von Medienvolumen],Medienvolumen [L],Medienkonzentration Rübenschnitzel [g/L],Medienkonzentration Melasse [g/L],Gesamtvolumen nach Inokulation [L],Begasungsrate [vvm],Spargertyp [alt/neu],Rührer Drehzahl [rpm],Art des Rührwerks,pH geregelt [ja/ nein],Temperatur geregelt [ja/nein],Antischaum geregelt [ja/ nein],Anmerkungen,Ausfälle,Relevante Abschnitte Aufzeichnung Reaktor,Feuchtmasse [g],Trockenmasse [g],Proteingehalt [g/100g TM],Ergosterol [g/100g TM],Chitin-Gehalt [g/ 100 gTM]
5/31/2023,6,6,nein,10,3,15,7.5,3.3,1,alt,230,Rushtone impeller,nein,ja,nein,erster Lauf mit neuem Kompressor,,,430,27.9,13.5,"0,048 +/- 0,001","2,3 +/- 0,1"
6/13/2023,6,6,ja,10,3,15,7.5,3.3,1,alt,230,Rushtone impeller,nein,ja,nein,"viel Schaum, daher hoher Restanteil Rübenschnitzel",,,467.1,28.9,"12,6 +/- 0,3","0,032 +/- 0,001","2,4 +/- 0,2"
8/7/2023,6,6,ja,10,3,30,15,3.3,1,alt,230,Rushtone impeller,ja,ja,nein,,,,408,52.9,"10,6 +/- 0,1","0,196 +/- 0,02 ??","2,6 +/- 0,3"
8/14/2023,6,5,ja,10,3,15,7.5,3.3,1,neu,150/200,Rushtone impeller,ja,ja,nein,erster Lauf mit neuem Sparger,,,700,"77,8 g (31,1 g bezogen auf 280 g Feuchtmasse)","9,93 +/- 0,02","0,048 +/- 0,001","2,4 +/- 0,5"
8/21/2023,6,6,ja,10,3,30,15,3.3,1,neu,170/270,Rushtone impeller,ja,ja,nein,"schlechte Durchmischung im Bodenbereich, Sprünge in O2-Sonde deuten auf Zuwachsen hin",,,650,51.3,"11,9 +/- 0,4","0,048 +/- 0,003","3,2 +/- 0,1"
10/4/2023,6,7,ja,10,3,30,15,3.3,1,neu,200,Rushtone impeller,ja,ja,nein,"viel Mycel am Sparger festgewachsen, Sauerstoff bei nahezu 0 %",,,750,70.3,11.8,"0,039 +/- 0,002",
10/11/2023,6,8,ja,20,2.7,30,15,3.3,1,neu,220/250,Rushtone impeller,ja (Base leer am 10.10.),ja,nein,,,,435,96.4,11.8,"0,023 +/- 0,003",
10/18/2023,6,6,ja,10,3,45,22.5,3.3,1,neu,230,Rushtone impeller,ja,ja,nein,"viel Mycel, Sauerstoff stark gesunken (zum ende 20%)",,,813,91.2,11.4,"0,033 +/- 0,005",
11/6/2023,6,6,ja,30,2.4,45,22.5,3.3,1,neu,210,Rushtone impeller,ja,ja,ja,starke Schaumbildung,,,750,109.5,10.8,0.032,
11/14/2023,6,6,ja,20,2.7,30,15,3.3,1,neu,190/300,Rushtone impeller,ja,ja,ja,gute Sauerstoffsättigung zum Ende; starke Schaumbildung,,,523,70.1,10.5,0.056,
11/27/2023,6,6,ja,10,3,-,-,3.3,1,neu,210,Rushtone impeller,ja,ja,nein,Lauf mit ME (20 g/L),AF-Pumpe,,217,16.2,,"0,517 +/- 0,026",
12/4/2023,6,6,ja,20,2.7,30,15,3.3,1,neu,200,Rushtone impeller,ja,ja,nein,guter Ansatz,,,798,73.4,10.2,0.042,
12/17/2023,war hier ein Lauf???,Kontaminiert,,,,,,,,,,,,,,,,,,,,,
12/27/2023,6,6,ja,10,3,45,22.5,3.3,1,neu,210,Rushtone impeller,ja,ja,nein,,,,693,129,"9,3 +/- 0,4",0.034,
1/15/2024,6,6,ja,30,2.4,45,22.5,3.3,1,neu,230/450,Rushtone impeller,ja,ja,ja,"Rührer zeigte bei 230 kaum Wirkung, daher nach 2 Tagen auf 450-500 hochgesetzt ",,,1002,117.2,11.6,"0,057 +/- 0,001",
2/19/2024,6,6,ja,10,3,15,7.5,3.3,1,neu,250/450,Rushtone impeller,ja,ja,ja,nur die Hälfte wurde geerntet,,,185,27,11.6,"0,071 +/- 0,002",
3/4/2024,6,6,ja,10,2.1,60,30,3.3,1,neu,400/600,Rushtone impeller,ja,ja,ja,,,,880,155,10.2,"0,068 +/- 0,002",
3/13/2024,6,6,ja,20,2.1,60,30,3.3,1,neu,300/600,Rushtone impeller,ja,ja,ja,,,,756,,,,
3/20/2024,6,6,ja,40,2.1,60,30,3.3,1,neu,300/600,Rushtone impeller,ja,ja,ja,,,,965,,,,
3/27/2024,6,6,ja,10,2.1,60,30,3.3,1,neu,400/500,Rushtone impeller,ja,ja,ja,,,,,,,,
4/3/2024,gekippt,,,,,,,,,,,,,,,,,,,,,,
4/16/2024,6,6,ja,20,2.1,60,30,3.3,1,neu,250/320,Rushtone impeller,ja,ja,ja,,,,771,,,,
4/23/2024,6,6,ja,40,2.1,60,30,3.3,1,neu,400,Rushtone impeller,ja,ja,ja,,,,1090,,,,
XX.05.2024,gekippt,,,,,,,,,,,,,,,Übersteuerung der AF-Sonde führte zu unkontrolliertem Zulauf; Ernte nicht verwertbar,,,,,,,
XX.05.2024,gekippt,,,,,,,,,,,,,,,Übersteuerung der AF-Sonde führte zu unkontrolliertem Zulauf; Ernte nicht verwertbar,,,,,,,
6/4/2024,6,6,ja,20,2.7,15,7.5,3.3,1,neu,230/300,Rushtone impeller,ja,ja,nein,"sehr wässrig, kaum Abtrennung von Myzel und Medium durch abpressen",,,162,,,,
6/12/2024,6,6,ja,10,3,30,15,3.3,1,neu,230,Rushtone impeller,ja,ja,nein,,,,202,,,,
6/19/2024,6,6,ja,20,2.7,30,15,3.3,1,neu,230/400,Rushtone impeller,ja,ja,nein,,,,630,,,,
7/24/2024,6,6,ja,20,2.7,60,30,3.3,1,neu,400/1000,Rushtone impeller,ja,ja,nein,"sehr dickflüssig, kaum Durchmischung möglich, optisch schlechtes Pilzwachstum",,,1183.35,,,,
8/1/2024,6,7,ja,40,2.1,60,30,3.3,1,neu,300/400,Rushtone impeller,ja,ja,nein,"Flüssigkeitsverlust durch Auslaufen, ca. 600 mL ausgelaufen",,,929.5,,,,
8/8/2024,6,6,ja,20,2.7,15,7.5,3.3,1,neu,230,Rushtone impeller,ja,ja,nein,,,,192,,,,
8/14/2024,6,6,ja,10,3,15,7.5,3.3,2,neu,,Rushtone impeller,ja,ja,nein,,,,,,,,
8/21/2024,6,6,ja,10,3,15,7.5,3.3,1,neu,230,Rushtone impeller,ja,ja,nein,Pilz nicht homogenisiert vor Inokulation,,,153,,,,
8/28/2024,6,6,ja,20,2.7,15,7.5,3.3,1,neu,230,Rushtone impeller,ja,ja,nein,,,,,,,,